City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,majene,-3.5403,118.9707,78.1,88,64,5.79,ID,1682286268
285,hadibu,12.65,54.0333,81.79,76,17,1.68,YE,1682286268
286,temiskaming shores,47.4938,-79.7153,40.8,88,100,3.71,CA,1682286269
287,kruisfontein,-34.0033,24.7314,66.88,71,100,3.74,ZA,1682286269
288,kalaleh,37.3807,55.4916,60.4,77,0,4.61,IR,1682286269
289,boguchany,58.3814,97.4531,29.53,94,100,3.89,RU,1682286269
290,cuatro cienegas de carranza,26.9833,-102.0833,64.76,75,46,13.04,MX,1682286269
291,san fernando,15.0286,120.6898,83.93,83,61,3.15,PH,1682286270
292,goba,7.0167,39.9833,50.9,78,99,4.85,ET,1682286270
293,pokhara,28.2333,83.9833,64.83,35,74,5.08,NP,1682286270
294,rio gallegos,-51.6226,-69.2181,50.05,62,75,5.75,AR,1682286023
295,angaur state,6.906,134.13,82.89,72,100,6.51,PW,1682286270
296,christchurch,-43.5333,172.6333,55.9,56,16,11.5,NZ,1682286088
297,murici,-9.3067,-35.9433,80.89,84,95,3.36,BR,1682286050
298,solnechnyy,50.7214,136.6319,34.11,80,97,2.33,RU,1682286271
299,kenora,49.8167,-94.4337,38.37,32,75,5.75,CA,1682286271
300,wau,7.7029,27.9953,78.69,63,89,8.08,SS,1682286271
301,encruzilhada do sul,-30.5439,-52.5219,63.36,62,100,7.2,BR,1682286272
302,keflavik,64.0049,-22.5624,40.91,75,0,3.44,IS,1682286272
303,fernie,49.5,-115.0687,56.08,84,98,4.21,CA,1682286272
304,saint-philippe,-21.3585,55.7679,78.39,74,100,6.29,RE,1682286272
305,cooma,-36.2333,149.1333,50.29,84,11,2.82,AU,1682286272
306,chernyshevskiy,63.0128,112.4714,16.02,97,100,4.21,RU,1682286273
307,ceylanpinar,36.8472,40.05,61.5,61,63,6.76,TR,1682286273
308,codrington,-38.2667,141.9667,53.44,81,0,6.64,AU,1682286273
309,zhicheng,30.2956,111.5047,47.46,90,100,5.03,CN,1682286273
310,zeya,53.75,127.2667,30.56,54,15,6.71,RU,1682286273
311,figuig (centre),32.1089,-1.2286,69.98,39,94,7.99,MA,1682286273
312,st. paul,44.9444,-93.0933,45.46,45,75,12.66,US,1682286274
313,novyy urgal,51.0736,132.5642,33.84,64,86,8.1,RU,1682286274
314,rongelap,11.1635,166.8941,80.8,83,67,22.06,MH,1682286274
315,mount gambier,-37.8333,140.7667,52.61,82,0,5.19,AU,1682286274
316,tongchuanshi,35.0806,109.0897,35.38,99,100,3.04,CN,1682286274
317,hobbs,32.7026,-103.136,49.19,56,100,11.5,US,1682285993
318,meppel,52.6958,6.1944,52.21,96,100,14.43,NL,1682286275
319,kayangel,8.0823,134.7173,82.47,69,85,6.06,PW,1682286275
320,keshod,21.3,70.25,76.6,78,73,7.45,IN,1682286275
321,antalaha,-14.9003,50.2788,74.52,93,43,4.07,MG,1682285997
322,acapulco de juarez,16.8634,-99.8901,87.62,62,0,8.05,MX,1682286104
323,westfield,42.1251,-72.7495,56.1,94,100,13.8,US,1682286065
324,chui,-33.6971,-53.4616,65.1,88,100,8.12,UY,1682286276
325,praia da vitoria,38.7333,-27.0667,66.45,88,75,16.22,PT,1682286276
326,urucui,-7.2294,-44.5561,81.37,46,16,3.47,BR,1682286276
327,cidade velha,14.9167,-23.6167,72.07,73,20,16.11,CV,1682286276
328,san-pedro,4.7485,-6.6363,80.11,87,67,4.9,CI,1682286256
329,ust-tsilma,65.441,52.1498,15.69,92,11,5.91,RU,1682286277
330,lompoc,34.6391,-120.4579,73.69,79,100,21.99,US,1682286277
331,beloyarskiy,63.7119,66.6722,22.96,75,37,11.39,RU,1682286277
332,al burayqah,30.4062,19.5739,66.07,76,53,12.64,LY,1682286277
333,howrah,22.5892,88.3103,77.0,83,40,0.0,IN,1682286046
334,wainwright,52.839,-110.8572,47.57,43,100,17.29,CA,1682286277
335,karoi,-16.8099,29.6925,63.55,72,60,4.38,ZW,1682286278
336,la peca,-5.6111,-78.435,76.84,73,100,1.59,PE,1682286278
337,caister-on-sea,52.6481,1.7265,48.97,96,100,15.97,GB,1682286278
338,tuy hoa,13.0833,109.3,74.03,91,9,3.94,VN,1682286278
339,shache,38.4167,77.2406,57.7,29,0,6.55,CN,1682286278
340,toliara,-23.35,43.6667,70.63,84,0,1.74,MG,1682286278
341,east ballina,-28.8667,153.5833,71.91,63,77,19.04,AU,1682286279
342,lomas de santa anita,20.501,-103.4947,89.22,8,75,10.36,MX,1682286279
343,clinton,42.587,-82.9199,50.9,54,75,11.5,US,1682286279
344,balkanabat,39.5108,54.3671,74.66,38,74,6.33,TM,1682286279
345,nanma,36.1817,118.1583,45.05,81,100,3.24,CN,1682286279
346,nemuro,43.3236,145.575,36.81,79,55,10.04,JP,1682286280
347,pontes e lacerda,-15.2261,-59.3353,73.18,93,92,2.39,BR,1682286280
348,cururupu,-1.8283,-44.8683,76.82,88,100,3.83,BR,1682286280
349,katiola,8.1333,-5.1,83.03,76,96,5.7,CI,1682286280
350,linqiong,30.4159,103.4609,58.82,86,99,2.01,CN,1682286281
351,cherdakly,54.3594,48.845,44.55,57,0,4.47,RU,1682286281
352,nizhniy odes,63.6445,54.856,15.15,97,18,4.07,RU,1682286281
353,n'zeto,-7.2312,12.8666,78.06,91,100,4.27,AO,1682286281
354,achinsk,56.2694,90.4993,33.82,70,99,6.24,RU,1682286281
355,konduga,11.6558,13.4213,91.35,29,76,5.1,NG,1682286281
356,rakops,-21.0167,24.3333,75.13,29,66,8.01,BW,1682286282
357,priargunsk,50.3691,119.1012,32.52,26,100,5.82,RU,1682286282
358,bodaybo,57.8506,114.1933,13.41,93,53,0.92,RU,1682286282
